madde,anlam,lisan,telaffuz
istihza etmek,"gizli veya kinayeli bir biçimde alay etmek, alaya almak",,
istikamet vermek,"yön vermek, yöneltmek",,
istikbal etmek,karşılamak,,
istikrah etmek,"tiksinmek, iğrenmek",,
istikrar bulmak,"aynı kararda olmak, aynı biçimde sürmek, bir düzende devam etmek | oturmuş olmak, yerleşmiş olmak, sabit duruma gelmek",,
istikraz etmek,borçlanmak,,
istikşaf etmek,keşfetmeye çalışmak,,
istila etmek,bir ülkeyi silah gücüyle ele geçirmek | kaplamak,,
istilzam etmek,gerektirmek,,
istimal etmek,kullanmak,,
istimdat etmek,"yardım istemek, yardıma çağırmak",,
istimlak etmek,kamulaştırmak,,
istimzaç etmek,anket yapmak,,
istim tutmak,gerekli koşulların olgunlaşmasını beklemek,,
istim üstünde olmak,buharla işleyen araçlar kalkmaya hazır duruma gelmek | hemen gidecek durumda bulunmak,,
istinat etmek,dayanmak,,
istinat ettirmek,"dayamak, dayandırmak",,
istinga etmek,yelkenleri toplamak,,
istinkâf etmek,"çekinmek, geri durmak, sakınmak",,
istinsah etmek,yazma bir eseri el yazısıyla kopyalamak,,
istintaç etmek,sonuç çıkarmak,,
istintak etmek,sorguya çekmek,,
istirahat etmek,dinlenmek (I),,
istirhamda bulunmak,istirham etmek,,
istirham etmek,"yalvarmak, dilemek, rica etmek",,
istiskal etmek,hoşnutsuzluğunu belli ederek soğuk davranmak,,
istismar etmek,"işletmek, yararlanmak | birinin iyi niyetini kötüye kullanmak | sömürmek",,
istisna etmek,"ayrı tutmak, dışarıda bırakmak",,
istişare etmek,danışmak,,
istizah etmek,"sorulan soruya açıklayıcı bilgi istemek, bir sorunun açıklanmasını istemek",,
istop etmek,"durmak, çalışmamak",,
isyanları oynamak,isyan etmek,,
isyan etmek,"başkaldırmak | kabullenmemek, razı olmamak",,
işaret çakmak,işaret etmek,,
işaret etmek,"bir şeyi, bir durumu el, yüz hareketleriyle anlatmak, göstermek | dikkat çekmek | işaretlemek",,
işaret vermek,bir araç kullanarak bir şeyi belli etmek,,
işbaşına gelmek,yönetici olmak,,
işbaşı yapmak,iş yerinde işe başlamak,,
işe almak,iş yerinde çalıştırmaya başlatmak,,
işe girmek,"göreve, çalışmaya başlamak",,
işe karışmak,"herhangi bir konuda katkıda bulunmak, görev almak | herhangi bir konuda olumsuz yönde müdahale etmek",,
işe koşmak,birine iş yaptırmak,,
işe sarılmak,kendini tamamen bir şeye veya işe vermek,,
işe yaramak,"kendisinden faydalanılmak, bir yerde kullanılmak",,
işgal etmek,"bir yeri ele geçirmek | bir yeri geçici bir süre için elinde tutmak | işten alıkoymak, oyalamak | uğraştırmak | yer tutmak, kaplamak",,
işgüzarlık etmek,işgüzarca davranmak,,
işinden olmak,"görevini yitirmek, görevinden atılmak",,
işine gelmek,"çıkarına, amacına, düşüncesine uygun olmak",,
işine koyulmak,işini yapmayı sürdürmek,,
işini bilmek,"nereden, nasıl yararlanacağını bilmek, çıkarını bilmek",,
işini bitirmek,öldürmek,,
işini görmek,görevini yapmak | dövmek | öldürmek,,
işini uydurmak,"kurnaz, açıkgöz davranarak işine istediği gibi biçim vermek",,
işini yoluna koymak,"işi veya görevi olumlu olarak yürütmek, sıkıntı çekmeden gerçekleştirmek",,
işin alayında olmak,"bir işe gereken önemi vermemek | işi önem vermeyerek yapmak | işi şaka konusu yapmak, ciddiye almamak",,
işin içinden çıkamamak,"başaramamak, sorunu çözümleyememek",,
işin içyüzünü bilmek,bir olayın veya durumun altında yatan sebebi bilmek,,
işin kolayına kaçmak,"derinliğine araştırmadan basit olarak düşünmek, yüzeyde kalmak, tembellik etmek",,
işin kurdu olmak,"belirli bir konuyla ilgili her şeyi bilmek, uzmanlaşmak",,
işin ortasını bulmak,ortak bir noktada anlaşmak,,
işin rengi değişmek,konu başka biçimde gelişmek | öncekinden farklı davranmaya başlamak,,
işin ucu birine dokunmak,birisi bir işten dolaylı olarak zarar görmek,,
işin üstesinden gelmek,"güç bir işi başarmak, sonuçlandırmak",,
işi ahbaplığa dökmek,yerli yersiz yakınlık göstermek,,
işi aksi gitmek,istenilen sonucu elde edememek,,
işi Allah'a kalmak,"güç şartlar altında, kimseden yardım umudunun kalmadığı bir durumda bulunmak",,
işi anlamak,"gizli bir şeyi, bir sorunu anlamak",,
işi azıtmak,yanlış ve aşırı yollara sapmak,,
işi bitmek,"işi sona ermek | hâli, gücü kalmamak",,
işi bozmak,"yapılan anlaşmayı, verilen sözü tutmamak",,
işi bozulmak,yapmakta olduğu işten gereği kadar kazanç sağlayamaz olmak,,
işi ciddiye almak,soruna önem vermek,,
işi çıkmak,başka bir işle meşgul olmak,,
işi çiş etmek,"işi bozmak, becerememek",,
işi düşmek,birinin yardımına gereksinim duymak,,
işi gücü bırakmak,yaptığı işten uzaklaşmak,,
işi ileri götürmek,beklenenden daha aşırı davranışlar içine girmek,,
işi iş olmak,işi yolunda olmak,,
işi kotarmak,işin üstesinden gelmek,,
işi olmak,yapacak bir şeyi bulunmak | işi istediği gibi bitirmek | uğraşmak zorunda olmak,,
işi pişirmek,aralarında gizlice anlaşmak,,
işi rast gitmek,"şans yardımıyla işi iyi, istediği gibi olmak",,
işi resmiyete dökmek,bir iş veya duruma resmî bir nitelik vermek,,
işi sağlama almak,işin gerçekleşmesi ve bozulmaması için gerekli önlemleri almak,,
işi savsaklamak,"işi yavaşlatmak, gereken önemi göstermemek",,
işi şakaya dökmek,ciddi başlayan bir sözü veya davranışı şakaya çevirmek,,
işi tatlıya bağlamak,"sorunlu bir işi, iyi bir biçimde çözmek",,
işi temizlemek,sorunu çözmek,,
işi uzatmak,bir işi sonuçlandırmamak,,
işi yoluna koymak,işi yapılabilir duruma getirmek,,
işi (bir şeye) vurmak,işi değiştirmek,,
işi ...-e dökmek,işi değiştirip bir başka biçime çevirmek,,
işi ...-e vurmak,"gerekenden başka biçimde davranmak, ... gibi görünmek",,
işkembesini düşünmek,öncelikle karın doyurmayı düşünmek,,
işkembesini şişirmek,oburca yemek,,
işkenceye sokmak,"fiziksel veya manevi sıkıntı vermek, zora sokmak",,
işkilli olmak,kuşkucu durumda olmak,,
işkâl etmek,"güçleştirmek, zorlaştırmak, çetinleştirmek",,
işleme koymak,bir işin gerçekleşmesi için gerekli olan işlemleri başlatmak,,
işlem görmek,"herhangi bir mal, kıymetli kâğıt, döviz vb. piyasada alınmak, satılmak, değiştirilmek [ekonomi]",,
işler açılmak,piyasa canlanmak,,
işler arapsaçına dönmek,işler çok karmaşık bir hâl almak,,
işler becermek,"zararlı, gizli işler yapmak",,
işportaya düşmek,"değerini yitirmek, herkes tarafından kullanılmak",,
işsiz güçsüz kalmak,bulunduğu iş yerinden ayrılarak boşta bulunmak,,
iştaha gelmek,arzulamak,,
iştahı açılmak,yemek isteği artmak,,
iştahı kabarmak,"isteği çoğalmak, heveslenmek",,
iştahı olmak,yemek isteği fazla olmak,,
iştahı yerinde olmak,"yemesi, içmesi ve yaşaması düzenli olmak",,
iştah açmak,yemek isteğini artırmak,,
işten el çektirmek,görevden uzaklaştırmak,,
işten güçten kalmak,herhangi bir sebeple çalışamamak,,
işten güçten vakit bulamamak,çok yoğun çalıştığı için zaman ayıramamak,,
iştial etmek,"tutuşmak, parlamak, alevlenmek",,
iştigal etmek,"uğraşmak, ilgilenmek, meşgul olmak",,
iştirak etmek,katılmak | ortak olmak,,
iştira etmek,satın almak,,
iştiyak duymak,"göreceği gelmek, özlemek | güçlü arzu beslemek",,
iş açmak,"uğraştırıcı, gereksiz bir durumun ortaya çıkmasına sebep olmak",,
iş almak,"yapılması kesinleşen bir işi üstlenmek, taahhüt altına girmek",,
iş ayağa düşmek,"iş, sorumsuz ve yetkisiz olanların elinde kalmak",,
iş başa düşmek,kendi işini kendi görmek zorunda kalmak,,
iş bırakmak,"çalışanlar toplu hâlde işlerini terk etmek, çalışmayı durdurmak",,
iş bilmek,becerikli olmak,,
iş birliği yapmak,amaç ve çıkarları bir olanlarca çalışma ortaklığı kurulmak,,
iş bitirmek,bir işi iyi bir sonuca ulaştırmak,,
iş çatallanmak,bir işte güçlükle karşılaşmak,,
iş çevirmek,"gizli, dolambaçlı bir iş yapmak",,
iş çığırından çıkmak,bir iş amacından saparak düzeltilmesi güç bir durum almak,,
iş çıkarmak,"çok iş yapmak | gereksiz, uğraştırıcı bir işe yol açmak, sorunlara neden olmak",,
iş düşmek,birinin iş yapması gerekmek,,
iş edinmek,"bir şeyi görev, meslek olarak kabul etmek | bir şeyi kendi uğraşı, sorunu durumuna getirmek",,
iş etmek,birine beklemediği bir davranışta bulunarak zarar vermek,,
iş görmek,iş yapmak | iş yapmaya uygun olmak,,
iş göstermek,"yapması için birine iş vermek, iş buyurmak",,
iş inada binmek,bir işi yapmakta direnmek | zıt görüş ve davranışta ısrar edilmek,,
iş işlemek,nakış yapmak,,
iş işten geçmek,bir işi gerçekleştirme imkânı kalmamış olmak,,
iş karıştırmak,fesat sokmak | zararlı bir iş yapmak,,
iş sarpa sarmak,"iş, içinden çıkılması zor bir duruma girmek",,
iş şirazesinden çıkmak,"düzenini kaybetmek, çığırından çıkmak",,
iş tutmak,çalışmak | cinsel ilişkide bulunmak,,
iş vermek,"birine yapacak iş göstermek | gönlü olduğunu gösterecek davranışlarda bulunmak, pas vermek",,
iş yapmak,çalışmak,,
iş (birinden) bitmek,işin sonuçlanması ondan beklenilmek,,
iş (birinde) bitmek,işin bitmesi veya sorunun çözümü birine bağlı olmak,,
iş (birine) kalmak,işin bitmesi için asıl gayret birine düşmek,,
iş (veya işler) becermek,"yapılması kolay olmayan, beklenmeyen veya makbul sayılmayan bir şey (şeyler) yapmak",,
itaatsizlik etmek,"söz dinlememek, boyun eğmemek, buyruğa uymamak",,
itaat etmek,"söz dinlemek, boyun eğmek, verilen buyruğa uymak",,
itap etmek,"paylamak, azarlamak",,
"ite ot, ata et vermek","ata et, ite ot vermek",,
itfa etmek,söndürmek | sönümlemek [ticaret],,
ithaf etmek,"birinin adına sunmak, armağan etmek",,
ithal etmek,içine almak | bir ülkeye başka ülkelerden mal getirmek,,
ithamda bulunmak,itham etmek,,
itham etmek,"suçlamak, suçlu görmek",,
itibara almak,"göz önünde tutmak, hesaba katmak",,
itibardan düşmek,saygınlığını yitirmek,,
itibar etmek,"saygı göstermek, saymak, değer vermek | göz önünde bulundurmak, dikkate almak",,
itibar görmek,"sayılmak, kendisine değer verilmek | aranmak, istenmek",,
itidalini kaybetmek,"aşırılığa kapılmak, soğukkanlılığını yitirmek",,
itidalini muhafaza etmek,"kendini aşırılığa kaptırmamak, kendini tutmak",,
itilaf etmek,anlaşmak,,
itila etmek,yücelmek | yükselmek,,
itimat telkin etmek,güven vermek,,
itina etmek,"özenmek, özen göstermek",,
itin götüne (veya kıçına) sokmak,rezil etmek,,
itiraf etmek,"başkaları tarafından bilinmesi sakıncalı görülen bir gerçeği saklamaktan vazgeçip açıklamak, söylemek, bildirmek | kabul etmek",,
itiraz etmek,"bir düşünce veya kararı benimsemeyerek karşı çıkmak, karşı çıkmak",,
itişip kakışmak,birbirini itmek,,
itiyat etmek,alışkanlık etmek,,
itizar etmek,özür dilemek,,
iti ite kırdırmak,kötülüğü kötülük aracılığıyla ortadan kaldırmak,,
itlaf etmek,"öldürmek, yok etmek, telef etmek",,
itmam etmek,"bitirmek, tamamlamak",,
ittifak etmek,bağlaşmak,,
ittihat etmek,aynı düşünce etrafında toplanmak,,
ittihaz etmek,"saymak, tutmak, ... olarak görmek | almak, gerekeni yapmak",,
it gibi çalışmak,çok çalışmak,,
it izi at izine karışmak,at izi it izine karışmak,,
ivme kazanmak,hızlanmak,,
iyesi olmak,sahip olmak,,
iyiliğe kemlik etmek,iyilik yapan birine kötülükle karşılık vermek,,
iyiliği dokunmak,"yararlı olmak, yararını görmek",,
iyilik bilmek,kendisine yapılan iyiliği unutmamak,,
iyilik etmek,"yararlı işler yapmak, yardımcı olmak",,
iyilik görmek,"maddi, manevi yardım görmek",,
iyiye çekmek,bir düşünce veya olayı olumlu yönüyle değerlendirmek,,
"iyiye iyi, kötüye kötü demek","hatır için söz söylememek, dürüst olmak",,
iyi etmek,"iyileştirmek, hastalıktan kurtarmak | uygun, yerinde bir davranışta bulunmak | soymak, parasını, malını almak",,
iyi gelmek,"yaramak | giyecek, üstüne olmak, uygun olmak | uğurlu gelmek",,
iyi gitmek,bir iş yolunda olmak | yakışmak,,
iyi gözle bakmamak,hakkında iyi düşünmemek,,
iyi gün dostu olmak,dostlarının sıkıntılı zamanlarında onlardan kaçmak,,
iyi karşılamak,"kabul etmek, beğenmek, benimsemek | ilgi göstermek",,
iyi olmak,"hastalıktan kurtulmak, iyileşmek | yerinde olmak | uygun gelmek",,
iyi söylemek,övmek,,
iyot gibi açıkta kalmak,ortada kalmak,,
iyot gibi ortaya çıkmak,istemediği hâlde asıl niyeti ortaya çıkmak,,
izaç etmek,"bunaltmak, tedirgin etmek, baş ağrıtmak",,
izafe etmek,bir şeyi başka bir şeye veya bir nedene bağlamak | bir şeyin birine ait olduğunu göstermek | eklemek,,
izahatta bulunmak,izahat vermek,,
izahat vermek,"açıklamalarda bulunmak, ayrıntılı bilgi vermek",,
izah etmek,"açıklamak, ayrıntılı bilgi vermek",,
izale etmek,"yok etmek, gidermek",,
izam etmek,"büyütmek, abartmak",,
izaz etmek,ağırlamak,,
izdivaç etmek,evlenmek,,
izhar etmek,"açığa vurmak, belirtmek, göstermek",,
izinden yürümek,birine içten bağlanarak onun başladığı işi aynı anlayışla sürdürmek,,
izine basmak,gözden uzaklaştırmayarak ne yaptığını gözetlemek,,
izine dönmek,"bir karar veya yargıdan geri dönmek, bir karardan vazgeçmek, rücu etmek",,
izine düşmek,"av hayvanlarının, gittiği yolu izleyerek arkalarından gitmek",,
izine uymak,düşünce ve davranışlarını benimsemek,,
izini düşürmek,iz düşümünü çıkarmak,,
izini kaybetmek,bir kimse hakkında bilgi alamamak,,
izinli çıkmak,izin alarak belli bir süre için bir yerden ayrılmak,,
izinli saymak,izin vermek | bir işte ayrı tutmak,,
izinsiz kalmak,"izin cezası alarak okuldan veya kışladan dışarı çıkamamak, izinsiz cezası almış olmak",,
izin almak,bir şey yapmak için onay sağlamak,,
izin çıkmak,bir şey yapmada serbest bırakılmak,,
izin istemek,bir şeyi gerçekleştirmek amacı ile onay almaya kalkmak,,
izin koparmak,güçlükle izin almak,,
izin vermek,"birini bir şey yapmada serbest bırakmak | işine son vermek, hizmetinden çıkarmak | birine bir iş yapması için müsaade etmek",,
izi belirsiz olmak,iz bırakmadan ortadan kaybolmak,,
izi silinmek,"ortadan yok olmak, kaybolmak",,
izole etmek,yalıtmak | yalnız bırakmak,,
izzetinefsine dokunmak,onuruna dokunmak | gücüne gitmek,,
izzetinefsine yedirememek,"onursuz kalmayı kabul edememek, düşkünlüğü veya zavallılığı reddetmek",,
iz bırakmak,etkisini kalıcı duruma getirmek,,
iz sürmek,"izlemek, arkasından gitmek, takip etmek | av sırasında hayvanın ayak izlerine bakarak gittiği yeri bulmaya çalışmak",,
İngiliz ipi ile asılmak,İngiliz sicimi ile asılmak,,
İngiliz sicimi ile asılmak,bir işi ustasına yaptırmak,,
jest yapmak,elini kolunu hareket ettirmek | hoşa gidecek bir görüş açıklamak veya bir davranışta bulunmak,,
jeton geç düşmek,"konuşulan veya sözü edilen konuyu geç anlamak, geç intikal etmek",,
jigolo tutmak,"yaşlı, zengin bir kadın genç bir erkekle ilişki kurmak",,
jilet atmak,jiletle saldırmak | kendini jiletlemek,,
jimnastik yapmak,vücudu çevikleştirmek ve güçlendirmek için hareket yapmak,,
jurnal etmek,"biriyle ilgili olarak yetkililere kötülemek, ihbar yazısı vermek veya böyle bir bilgiyi iletmek",,
jübile yapmak,"sporculuk yaşantısını özel bir karşılaşma ile bitirmek [spor] | sanatın çeşitli alanlarında uzun yıllar başarı gösteren kimse için mesleğinin 25, 40, 50 vb. yıl dönümlerinde şenlik yapmak",,
kabadayılık etmek,kabadayı gibi davranmak,,
kabadayılık taslamak,"kabadayı gibi davranmaya, kabadayı gibi görünmeye çalışmak",,
kabahati (birine veya bir şeye) yüklemek,işlediği bir suçu başkasının üzerine atmak,,
kabakulak olmak,kabakulak hastalığına yakalanmak,,
kabak çıkmak,ham çıkmak,,
kabak çiçeği gibi açılmak,utangaçlıktan çabucak sıyrılarak aşırı ölçüde serbest davranmak,,
kabak tadı vermek,"aşırı tekrarlanması, sürdürülmesi yüzünden bir şeyden doygunluk, yorgunluk veya bıkkınlık duyarak onu istemez duruma gelmek | bıktırmak",,
kabak (birinin) başına (veya başında) patlamak,"birçok kimsenin ilgili olduğu bir olaydan, yalnızca bir kimse zarar veya ceza görmek",,
kabalık etmek,"kaba, nezaketsiz davranışlarda bulunmak",,
kabasını almak,"biçim verilecek bir maddenin gereksiz yerlerini gidermek | bir yeri veya bir şeyi gelişigüzel, üstünkörü temizlemek",,
kabına sığmamak,duygularına engel olamayıp taşkın davranışlarda bulunmak,,
kabız olmak,peklik olmak,,
kabine çekilmek,bakanlar kurulu görevini bırakmak,,
kabine düşmek,bakanlar kurulu herhangi bir sebeple görevini bırakmak zorunda kalmak,,
kabir azabı çekmek,"İslam inancına göre öldükten sonra mezarda azap duymak | çok sıkılmak, üzülmek",,
kabuğuna çekilmek,"dışarısı ile olan ilişkilerini kesmek, kimse ile görüşmemek",,
kabuğu dışına çıkmak,içinde bulunduğu ortam veya durumdan ayrılmak,,
kabuksuz yumurtlatmak,bir işi ivedilikle yaptırıp eksik kalmasına yol açmak,,
kabul görmek,"kabul edilmek, onaylanmak",,
kaçacak delik aramak,korku ile saklanacak yer aramak,,
kaçak güreşmek,"güreşirken rakibine uzak durmayı, hücumu değil kaçmayı tercih etmek [spor] | hasımla doğrudan değil, arkadan hileyle uğraşmak | asıl konuya girmeksizin başka şeylerden söz etmek | politikada sık sık düşünce değiştirip esas amacını gizlemek",,
kaçamak yapmak,hoş görülmeyen şeyi gizlice ara sıra yapmak,,
kaçmaktan kovalamaya vakit olmamak,önemli işler yüzünden başka işlere yetişememek,,
kaç baharın yoğurdunu yemek,"çok yaşamak, ömrü uzun olmak",,
kadastroya geçmek,kadastrosu yapılmak,,
kadeh kaldırmak,herhangi birini veya bir şeyi onurlandırmak için içmeden önce kadehleri yukarı kaldırmak,,
kadeh tokuşturmak,içki içerken kadehleri karşılıklı olarak birbirine dokundurmak,,
kadere boyun eğmek,"yazgısını, talihini kabul etmek",,
kader birliği etmek,"her zaman ve her yerde, her durumu birlikte yaşamak, her şeyi paylaşmak",,
kadın olmak,"evlenerek veya bir erkekle beraber olarak genç kızlıktan çıkmak | kadın kocasını, evini iyi yönetmek",,
kadidi çıkmak,"çok zayıflamak, bir deri bir kemik durumuna gelmek | iskeleti görünmek",,
kadife kaplı (veya kadife eldiven içinde) demir yumruk olmak,bir konuda başarı sağlamak için hissettirilmeden uygulanan güç,,
kadir kıymet bilmek,değerini bilmek,,
kadir olmak,"güçlü olmak, gücü olmak, gücü yetmek",,
kadraja girmek,fotoğraf veya kameranın görüntüleme alanına dâhil olmak,,
kadrini anlamak,değerinin farkına varmak,,
kadrini bilmek,"değerini bilmek, yararlanmak",,
kafadan atmak,"bir konu üzerinde inceleme yapmadan rastgele konuşmak, uydurmak, yalan söylemek",,
kafakola almak,güreşte kafa ve kolu birlikte kavrayarak rakibi çevirmek [spor] | etkisi altına alıp kandırmak,,
kafasına dank etmek,"bir olay sebebiyle birden ayılmak, doğruyu anlamak",,
kafasına geçirmek,başına geçirmek,,
kafasına girmek,bir düşünce aklına uygun gelmek | birini bir iş yapmaya kandırmak,,
kafasına girmemek,"anlayamamak, kavrayamamak",,
kafasına kakmak,yapılan bir iyiliği yüzüne vurarak birini üzmek,,
kafasına koymak,"kararını önceden vermiş olmak, önceden şartlanmak, bir şey yapmaya kesin karar vererek zamanını beklemek",,
kafasına saplanmak,sürekli olarak aynı şeyi düşünmek,,
kafasına sığmamak,akıl erdirememek,,
kafasına sokmak,"zihnine yerleştirmek, anlamasını sağlamak",,
kafasına söz girmemek,çok aptal veya inatçı olmak | önemsememek,,
kafasına takılmak,"aklını sürekli meşgul etmek, zihnini kurcalamak",,
kafasına uymak,aklına uymak,,
kafasına vurmak,başına vurmak,,
kafasından aşağı kaynar sular dökülmek,başından aşağı kaynar sular dökülmek,,
kafasından geçirmek,belli belirsiz düşünmek,,
kafasında şimşek çakmak,beyninde şimşek çakmak,,
kafasında tutmak,"bir şeyi unutmamak, aklında tutmak",,
kafasının dikine gitmek,"kendi düşünce ve görüşünün en iyi olduğuna inanarak kimsenin öğüdünü, uyarısını dinlememek",,
kafasının etini yemek,başının etini yemek,,
kafasının kontağı atmak,"çok sinirlenmek, öfke ile dolmak",,
kafasını ezmek,"zararlı olabilecek bir hareketi, bir durumu başlangıçta yok etmek, etkisiz duruma getirmek",,
kafasını işletmek,doğru ve iyi düşünmek,,
kafasını kaldırmak,"karşı gelmek, başkaldırmak",,
kafasını kaldırmamak,"yoğun olarak çalışmak, meşgul olmak | yoğun bir biçimde düşünmek veya çalışmak | karşı gelmemek",,
kafasını kaşıyacak vakti olmamak,başını kaşıyacak vakti olmamak,,
kafasını kırmak,"iyice dövmek, pataklamak",,
kafasını kullanmak,akıllıca davranmak,,
kafasını kurcalamak,"zihnini meşgul etmek, düşündürmek",,
kafasını sokmak,"barınabilecek bir yere yerleşmek, başını sokmak",,
kafasını toplamak,sağlıklı düşünebilir olmak,,
kafasını tütsülemek,sarhoş etmek,,
kafasını uçurmak,kellesini uçurmak,,
kafasını vurmak,bir kimsenin kafasını kesmek,,
kafası bozulmak,"öfkelenmek, kızmak",,
kafası bulanmak,"bir olay karşısında aklı karışmak, anlayamaz, kavrayamaz duruma gelmek",,
kafası dolmak,zihninde çeşitli konular birikmek,,
kafası dönmek,sıkışık bir durumda sersemlemek | kızıp öfkelenmek,,
kafası dumanlanmak,çok dalgın olmak | sarhoş olmak | esrar içmiş olmak,,
kafası durmak,zihin yorgunluğundan düşünemez olmak,,
kafası düzelmek,doğruyu ve iyiyi bulmak,,
kafası ile oynamak,takım sporlarında arkadaşlarının durumunu göz önünde tutup en iyi fırsatı değerlendirerek bedenini fazla yormadan oynamak,,
kafası kazan (gibi) olmak,kafası şişmek,,
kafası kızmak,öfkelenmek,,
kafası sarmamak,"anlamamak, aklı ermemek",,
kafası şişmek,zihni yorulmak | gürültü veya gevezelik sonucu rahatsız olmak,,
kafası yerinde olmamak,gereği gibi düşünecek durumda olmamak,,
kafası yerine gelmek,"kendini toparlamak, kendine gelmek",,
kafası (veya kafasına) takılmak,zihni bir şeyle sürekli olarak uğraşmak,,
kafaya almak,"zaaflarından yararlanarak kandırmak, oyuna getirmek | konu önemliymiş gibi yaparak alaya almak | gemi seyrederken akıntıyı başa almak [denizcilik]",,
kafaya çıkmak,futbolda havadan gelen topa kafa vurmak için sıçramak [spor],,
kafaya girmek,"iyice anlamak, iyice bilmek",,
kafaya takmak,sürekli o şeyi düşünmek,,
kafayı bulandırmak,"önceki düşünceleri altüst etmek, değiştirmek",,
kafayı bulmak,sarhoş olmak,,
kafayı değiştirmek,"düşüncesini, kanaatini değiştirmek",,
kafayı demlemek,içki içmek,,
kafayı üşütmek,"delirmek, çılgınlaşmak",,
kafayı yemek,aşırı yorgunluktan bunalıma düşmek,,
kafayı (bir yere) vurmak,hastalanıp yatağa düşmek | uyumak için yatmak,,
kafa atmak,"kavga sırasında karşıdakinin yüzüne, sert ve şiddetli bir biçimde kafayla vurmak | futbolda topa kafa vurmak",,
kafa bulmak,alay etmek,,
kafa cilalamak,içki içmek,,
kafa eskitmek,zihni yoran sorunlarla sürekli uğraşmak,,
kafa göz yarmak,kavgada karşısındakinin kafasını yaralamak | beceriksizlik göstermek,,
kafa kafaya vermek,iki veya birkaç kişi bir kenara çekilip konuşmak | dayanışmak,,
kafa kalmamak,zihin yorularak çalışmaz olmak,,
kafa patlatmak,bir konu üzerinde pek çok düşünmek | çok konuşup karşısındakini yormak,,
kafa sallamak,ikaz etmek için başını iki yana veya öne arkaya hafifçe eğmek | baş sallamak | doğru veya yanlış her şeye evet demek,,
kafa tutmak,"boyun eğmemek, karşı gelmek, diklenmek",,
kafa yapmak,dalga geçmek,,
kafa yormak,"bir iş, bir konu üzerinde çokça düşünmek",,
kafa (veya kafasını) dinlendirmek,tasa veya zihni yoran sorunlardan kendini uzaklaştırmak,,
kafa (veya kafasını) karıştırmak,önceki düşüncelerini altüst etmek,,
kafa (veya kafasını) şişirmek,gürültü veya gevezelikle bir kimseyi rahatsız etmek,,
kafa (veya kafasını) ütülemek,çok laf edip rahatsız etmek,,
kafa (veya kafayı veya kafasını) dinlemek,"zihni yoran sorunlardan uzak kalmak | sessiz, sakin kalmak",,
kafa (veya kafayı) çekmek,içki içmek,,
kafese girmek,aldatılıp kendisinden çıkar sağlanmak | hapse girmek,,
kafese koymak,aldatıp çıkar sağlamak,,
kağnıyla tavşan avına çıkmak,"bir işi bitirmemek için bahane bulmak, ayak sürümek",,
kağnı gibi gitmek,çok yavaş gitmek,,
kahır yüzünden lütfa uğramak,"birine kötülük olsun diye yapılan iş, onun iyiliğine olmak",,
kahır (veya kahrını) çekmek,uzun süre sıkıntıya katlanmak,,
kahkahadan kırılmak,çok gülmek,,
kahkahayı ağzında söndürmek,edep sınırlarını aşmamak için gülmeyi sınırlamak,,
kahkaha atmak,yüksek sesle gülmek,,
kahkaha fırtınası kopmak,birdenbire toplu olarak kahkaha atma,,
kahkaha tufanı kopmak,birdenbire toplu olarak kahkaha atmak,,
kahpelik etmek,sözünden dönerek birine kötülük etmek,,
kahrından ölmek,"çok üzülmek | aşırı üzüntü, kişinin ölümüne neden olmak",,
kahvaltı etmek,hafif yiyeceklerle karın doyurmak,,
kail olmak,razı olmak | inanmak,,
kaim olmak,yerine geçmek | varlığı sürüp gitmek,,
kakavanlık etmek,kakavanca davranmak,,
kaka yapmak,büyük abdest yapmak,,
kakılıp kalmak,"bir yerde beklemek zorunda kalmak, hiçbir yere gidememek",,
kakır kakır gülmek,sesli ve sürekli gülmek,,
kalabalık etmek,gereksiz olarak yer doldurmak,,
kalafata çekmek,"gemiyi onarmak için karaya çekmek | azarlamak, paylamak",,
kalafat etmek,kalafatlamak | süsleyip çekidüzen vermek,,
kalayı basmak,adamakıllı küfretmek,,
kalbe dokunmak,acı veya üzüntü vermek,,
kalbe işlemek,derin üzüntü uyandırmak,,
kalbe (veya kalbine) doğmak,içine doğmak,,
kalbinde ateş yanmak,"âşık olmak, çok sevmek",,
kalbine girmek,sevgisini kazanmak,,
kalbine saplanmak,yüreğine saplanmak,,
kalbini açmak,yüreğini açmak,,
kalbini burmak,"üzmek, sıkıntı vermek",,
kalbini çalmak,"sevgisini kazanmak, kendine âşık etmek",,
kalbini deşmek,"çok derinden etkilemek, kendine âşık etmek",,
kalbini doldurmak,yüreğini sevgiyle ısıtmak,,
kalbini eritmek,"kabalığını, katılığını, sertliğini veya acımasızlığını ortadan kaldırmak, acımasını sağlamak, yumuşatmak",,
kalbini okumak,"birinin duygu ve düşüncelerini, niyetini anlamak",,
kalbiyle konuşmak,"düşüncelerini, duygu ağırlıklı bir biçimde anlatmak",,
kalbi ağzına gelmek,yüreği ağzına gelmek,,
kalbi boş olmak,sevgilisi bulunmamak,,
kalbi çarpmak,kalbi çok vurmak | çok heyecanlanmak | yüreği çarpmak,,
kalbi dayanmamak,"aşırı heyecan, üzüntü, yorgunluk veya herhangi bir hastalık yüzünden kalbi durmak, ölmek | yüreği dayanmamak",,
kalbi dolu olmak,sevgilisi olmak,,
kalbi ferahlamak,yüreği ferahlamak,,
kalbi kararmak,inancını kaybetmek | yüreği kararmak,,
kalbi parçalanmak,yüreği parçalanmak,,
